drug,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,main_cluster,max_membership,membership_entropy,cluster_num,cluster,membership_score,display_label,target,pathway,research_area
Mecamylamine (hydrochloride),0.0017561651715645857,0.4836633252371019,0.001360839361650947,0.00491157897618713,0.03304079527008073,0.3334398496170544,0.0007175112906167922,0.11079253539844207,0.00115850158342554,0.029158898093875972,cluster_2,0.4836633252371019,1.236292359713422,2,Cluster_2,0.4836633252371019,Mecamylamine (hydrochloride),Histamine Receptor; nAChR,GPCR/G Protein; Immunology/Inflammation; Membrane Transporter/Ion Channel; Neuronal Signaling,Neurological Disease; Cardiovascular Disease
Meclofenoxate (hydrochloride),0.0008950982838140028,0.05608969728148102,0.0007395060714225827,0.0027181720813410524,0.010961015401216296,0.8919340282478402,0.0004112306862102711,0.024663982199746526,0.0006807126807797814,0.010906557066148508,cluster_6,0.8919340282478402,0.4894979022284687,6,Cluster_6,0.8919340282478402,Meclofenoxate (hydrochloride),iGluR; nAChR,Membrane Transporter/Ion Channel; Neuronal Signaling,Neurological Disease
Mefloquine (hydrochloride),0.07390372003876083,0.11955006528926966,0.05143337782180487,0.08280698832431203,0.1492744198135687,0.09657034483513219,0.03182450089881006,0.14532469867562645,0.042725386554997476,0.2065864977477177,cluster_10,0.2065864977477177,2.1655329670246504,10,Cluster_10,0.2065864977477177,Mefloquine (hydrochloride),Autophagy; Parasite; Potassium Channel; ROS Kinase; SARS-CoV,Anti-infection; Autophagy; Membrane Transporter/Ion Channel; Protein Tyrosine Kinase/RTK,Cancer; Infection; Metabolic Disease; Inflammation/Immunology
Mephenesin,7.206813996693958e-05,0.0025675246676036536,4.98318961786194e-05,0.00013393608933398075,0.9840963262829711,0.0007824059601313201,2.4579103305081018e-05,0.01107019855382139,3.657370226967642e-05,0.0011665556044182723,cluster_5,0.9840963262829711,0.09743122042389764,5,Cluster_5,0.9840963262829711,Mephenesin,iGluR,Membrane Transporter/Ion Channel; Neuronal Signaling,Neurological Disease
Methylene blue (trihydrate),0.009360876714604489,0.13152866705079513,0.005873376085122422,0.013618999355065593,0.4174995819943112,0.06040708037160266,0.0029253981287580924,0.2445253993309967,0.004287899777261985,0.10997272119148177,cluster_5,0.4174995819943112,1.5610476241222575,5,Cluster_5,0.4174995819943112,Methylene blue (trihydrate),Guanylate Cyclase; Monoamine Oxidase; NO Synthase; Parasite,Anti-infection; GPCR/G Protein; Immunology/Inflammation; Neuronal Signaling,Cancer; Infection; Neurological Disease
Methylthiouracil,0.0005522375185737416,0.017921465898340726,0.00038010416225772357,0.0010314814957005233,0.8908505974520502,0.005764698107488064,0.00018637235951456707,0.07357362613245656,0.0002782701007620438,0.00946114677285577,cluster_5,0.8908505974520502,0.4589520266132391,5,Cluster_5,0.8908505974520502,Methylthiouracil,ERK; Interleukin Related; NF-ÎºB; TNF Receptor,Apoptosis; Immunology/Inflammation; MAPK/ERK Pathway; NF-ÎºB; Stem Cell/Wnt,Inflammation/Immunology; Cancer
Mifepristone,0.13651663644049195,0.04979640690052405,0.15236875242892278,0.07934819333015311,0.04120298502116049,0.06103247340601214,0.14811137198965507,0.04845607143268027,0.19356365234115513,0.08960345670924501,cluster_9,0.19356365234115513,2.174596003058779,9,Cluster_9,0.19356365234115513,Mifepristone,Autophagy; Glucocorticoid Receptor; NO Synthase; Progesterone Receptor,Autophagy; Immunology/Inflammation; Vitamin D Related/Nuclear Receptor,Endocrinology; Cancer
Mobocertinib (succinate),0.21876632243699223,0.043645605182725075,0.17234358665521213,0.07220592637381591,0.04665890221165908,0.04124823631745862,0.13750794791078455,0.04808213030286839,0.13207127249028794,0.08747007011819603,cluster_1,0.21876632243699223,2.1356946575649043,1,Cluster_1,0.21876632243699223,Mobocertinib (succinate),EGFR,JAK/STAT Signaling; Protein Tyrosine Kinase/RTK,Cancer
Mometasone,0.025363366197538054,0.16319167776133128,0.015828042007271583,0.03510055935115484,0.18630751031069573,0.09581805839026651,0.007593890009271343,0.1949143780108771,0.011735078605675677,0.26414743935591783,cluster_10,0.26414743935591783,1.8696084573071299,10,Cluster_10,0.26414743935591783,Mometasone,Glucocorticoid Receptor,Immunology/Inflammation; Vitamin D Related/Nuclear Receptor,Metabolic Disease
Monomethyl fumarate,0.004427195909072226,0.36116894776389746,0.0035967163966852977,0.012606677453997253,0.11760583172376143,0.12803621679986799,0.001893685744318431,0.31111131365066247,0.0029977835784448952,0.05655563097929254,cluster_2,0.36116894776389746,1.5370882247566744,2,Cluster_2,0.36116894776389746,Monomethyl fumarate,Drug Metabolite; GPR109A,GPCR/G Protein; Metabolic Enzyme/Protease,Inflammation/Immunology; Neurological Disease
Moxonidine,7.517265227860093e-05,0.0026776300949458375,5.198607094151005e-05,0.00013974983168344333,0.9834260842176016,0.0008161673706267941,2.5644813745154014e-05,0.011533394848118527,3.815922748958935e-05,0.0012160108725688859,cluster_5,0.9834260842176016,0.10085489306017216,5,Cluster_5,0.9834260842176016,Moxonidine,Imidazoline Receptor,Neuronal Signaling,Neurological Disease
Nateglinide,0.0003150280807090354,0.012008095840933446,0.00022242767371279958,0.0006136523771339606,0.9281879420813918,0.0036977150523016997,0.00010973989024041155,0.04964379418206638,0.00016399749030591748,0.005037607331204395,cluster_5,0.9281879420813918,0.3300856768019921,5,Cluster_5,0.9281879420813918,Nateglinide,Dipeptidyl Peptidase; Potassium Channel,Membrane Transporter/Ion Channel; Metabolic Enzyme/Protease,Metabolic Disease
Neratinib,0.773195590399015,0.01904241683611295,0.05176711639187701,0.01571950907073382,0.02061192035670564,0.017764008444336475,0.02270651518662711,0.020930316645794693,0.023511792291086357,0.03475081437771092,cluster_1,0.773195590399015,1.0162852778277676,1,Cluster_1,0.773195590399015,Neratinib,EGFR,JAK/STAT Signaling; Protein Tyrosine Kinase/RTK,Cancer
Nicotinamide,0.002272553599190562,0.06681488626330884,0.00167051017768608,0.004545885386806806,0.6762486933476838,0.024020521816573576,0.0008302088692110954,0.19282418151703676,0.0012327227837543317,0.029539836238748122,cluster_5,0.6762486933476838,1.019507204860287,5,Cluster_5,0.6762486933476838,Nicotinamide,Endogenous Metabolite; HBV; Sirtuin,Anti-infection; Cell Cycle/DNA Damage; Epigenetics; Metabolic Enzyme/Protease,Cancer
Nitazoxanide,0.011850121685962502,0.0028065905390856675,0.024208624677673405,0.008108229122043368,0.002648684292717721,0.003058594082927552,0.8434184184029164,0.0028810500103786207,0.09604508058658953,0.004974606599705243,cluster_7,0.8434184184029164,0.6434882997030573,7,Cluster_7,0.8434184184029164,Nitazoxanide,Autophagy; Influenza Virus; Parasite,Anti-infection; Autophagy,Cancer; Infection
Nitrendipine,0.0008672454138688135,0.6946106672045567,0.0006491958313114213,0.0022162089980763003,0.034824576314277364,0.038297164804653,0.0003317785143508093,0.21101255555605758,0.0005276118443374767,0.016662995518510592,cluster_2,0.6946106672045567,0.9225732006158666,2,Cluster_2,0.6946106672045567,Nitrendipine,Autophagy; Calcium Channel,Autophagy; Membrane Transporter/Ion Channel; Neuronal Signaling,Cardiovascular Disease
Nordihydroguaiaretic acid,0.06043904525065988,0.09042912043626575,0.13248323657951222,0.1701574170706476,0.08430679671049532,0.08818134688558725,0.053036995679603044,0.09407260938267137,0.07677033531507613,0.1501230966894814,cluster_4,0.1701574170706476,2.2385698145845203,4,Cluster_4,0.1701574170706476,Nordihydroguaiaretic acid,Autophagy; Ferroptosis; Lipoxygenase,Apoptosis; Autophagy; Metabolic Enzyme/Protease,Cancer; Neurological Disease
Olmutinib,0.8777551633471742,0.009103140429872392,0.029651735065227156,0.008502722745246378,0.009731899501353615,0.008556536391567884,0.013868419553414108,0.010065014919126904,0.014081743155385847,0.018683624891631542,cluster_1,0.8777551633471742,0.6279108552173286,1,Cluster_1,0.8777551633471742,Olmutinib,EGFR,JAK/STAT Signaling; Protein Tyrosine Kinase/RTK,Cancer
Orelabrutinib,7.880961701882268e-05,0.002806987282503455,5.451181792344175e-05,0.00014657307624694503,0.9826414262213014,0.0008557596890436882,2.6894703097512567e-05,0.012075117089364268,4.001879815526344e-05,0.0012739017053452824,cluster_5,0.9826414262213014,0.1048290291568497,5,Cluster_5,0.9826414262213014,Orelabrutinib,Btk,Protein Tyrosine Kinase/RTK,Cancer
Oteseconazole,0.07066284530678117,0.02289903253103205,0.47008782522814896,0.04274472298901876,0.019854062289767535,0.02629062087868541,0.15608655419936882,0.022750289726348665,0.13133693985509926,0.03728710699574927,cluster_3,0.47008782522814896,1.7020223043888054,3,Cluster_3,0.47008782522814896,Oteseconazole,Cytochrome P450; Fungal,Anti-infection; Metabolic Enzyme/Protease,Infection
Pamapimod,0.0012921110390154659,0.5483620226443319,0.0009750168421425107,0.0032015165654497597,0.07324935968327549,0.04897489759569214,0.0004897641075076417,0.29869028150573274,0.0007627735174441733,0.024002256499408167,cluster_2,0.5483620226443319,1.1620557408975003,2,Cluster_2,0.5483620226443319,Pamapimod,Autophagy; p38 MAPK,Autophagy; MAPK/ERK Pathway,Inflammation/Immunology
Paritaprevir,0.0012994677595145271,0.1609578601703068,0.0009463626909581256,0.0030467647700257324,0.13713489599072518,0.03123336552072041,0.0004771016484549353,0.6377445711635107,0.0007433770635288183,0.026416233222254906,cluster_8,0.6377445711635107,1.099470146671208,8,Cluster_8,0.6377445711635107,Paritaprevir,HCV; HCV Protease; SARS-CoV,Anti-infection; Metabolic Enzyme/Protease,Infection
Peretinoin,5.283557028710587e-05,0.0018859639633486659,3.6502935469291145e-05,9.80127181450408e-05,0.9882714945908255,0.0005734200232799571,1.7989743281239634e-05,0.008177909645990791,2.677007780777094e-05,0.0008591007315645635,cluster_5,0.9882714945908255,0.07541764126354497,5,Cluster_5,0.9882714945908255,Peretinoin,Autophagy; HCV; RAR/RXR; SphK,Anti-infection; Autophagy; Immunology/Inflammation; Metabolic Enzyme/Protease; Vitamin D Related/Nuclear Receptor,Cancer; Infection
Pergolide (mesylate),0.010474066966896635,0.25534139284378227,0.00869909279469222,0.05910344380023212,0.08465214377633042,0.2649930136058577,0.00550628882941647,0.16926362546216223,0.00995911092762317,0.13200782099300673,cluster_6,0.2649930136058577,1.8082348481433788,6,Cluster_6,0.2649930136058577,Pergolide (mesylate),Dopamine Receptor,GPCR/G Protein; Neuronal Signaling,Neurological Disease
Pindolol,0.0020047673350493725,0.06112482283894699,0.0014724779903272454,0.004026385537333466,0.6986657123201719,0.02138433918901448,0.0007313963923443264,0.1830730963096081,0.001085379579529842,0.02643162250767402,cluster_5,0.6986657123201719,0.9674044138886752,5,Cluster_5,0.6986657123201719,Pindolol,5-HT Receptor; Adrenergic Receptor,GPCR/G Protein; Neuronal Signaling,Neurological Disease; Endocrinology
Pipecuronium (bromide),0.0003195396075277518,0.8980395023943257,0.0002425195047076188,0.0008375693721002905,0.010940245298545795,0.021284387620489478,0.00012462724276125217,0.06202874478871293,0.00019861994860776255,0.00598424422222167,cluster_2,0.8980395023943257,0.4443342070888719,2,Cluster_2,0.8980395023943257,Pipecuronium (bromide),nAChR,Membrane Transporter/Ion Channel; Neuronal Signaling,Neurological Disease
Pirlindole,0.01452497968782442,0.05713107020835898,0.01714152660903162,0.6319312054557532,0.041680290318231644,0.05872032929130595,0.01459192091886167,0.053960623220545165,0.029466070570819514,0.08085198371926776,cluster_4,0.6319312054557532,1.4100911797634026,4,Cluster_4,0.6319312054557532,Pirlindole,Enterovirus; Monoamine Oxidase,Anti-infection; Neuronal Signaling,Infection; Neurological Disease
