protein,gene_symbol,display_label,cluster,mean_value,sd_value,max_abs_value,non_na_fraction
Q2VPK5,CTU2,CTU2,Cluster_4,-0.04227592906870866,0.2544054358392067,1.171352713472789,1.0
O15121,DEGS1,DEGS1,Cluster_4,-0.03547316754587538,0.20183818206460102,1.1690695181525823,1.0
Q8N6S5,ARL6IP6,ARL6IP6,Cluster_4,-0.04088025429001273,0.27399290387243275,1.1679373211458142,1.0
O95239,KIF4A,KIF4A,Cluster_4,-0.30490532203271986,0.2010364191903965,1.1671531014109569,1.0
Q9HA65,TBC1D17,TBC1D17,Cluster_4,-0.02213237825522984,0.2318241881382312,1.1667895242809294,1.0
Q9UNS1,TIMELESS,TIMELESS,Cluster_4,-0.183051078510035,0.205893295104025,1.165467408482051,1.0
Q8WXW3,PIBF1,PIBF1,Cluster_4,0.11451105531382806,0.24137639717819775,1.1652927517921832,1.0
Q99933,BAG1,BAG1,Cluster_4,0.002217935291651396,0.2086890250553993,1.1640419353263702,1.0
P24941,CDK2,CDK2,Cluster_4,-0.08114022143744813,0.22844098295177917,1.1638790204977347,1.0
Q9UHB4,NDOR1,NDOR1,Cluster_4,-0.09527558806240662,0.22466281086674061,1.1628897758878445,1.0
Q9NRF2,SH2B1,SH2B1,Cluster_4,-0.041516720242814206,0.22446541412967388,1.16077584662429,1.0
Q8NFZ8,CADM4,CADM4,Cluster_4,0.09485791241955473,0.2749465295182726,1.1605075368118314,1.0
Q5T2W1,PDZK1,PDZK1,Cluster_4,-0.025944633576834714,0.26993852364619775,1.1601787159174322,1.0
Q9HBM0,VEZT,VEZT,Cluster_4,0.07524844006207017,0.20284072219613758,1.1601264450956954,1.0
Q7L7V1,DHX32,DHX32,Cluster_4,-0.0019563584749308603,0.21576104466639534,1.1599672527512226,1.0
Q96KQ4,PPP1R13B,PPP1R13B,Cluster_4,0.06344427328322257,0.20406545470019527,1.1585804841021332,1.0
P78312,FAM193A,FAM193A,Cluster_4,-0.15215725542541422,0.2234726581124562,1.157994977365952,1.0
P16260,SLC25A16,SLC25A16,Cluster_4,0.13466733578467058,0.24586782537402824,1.1579280187308,1.0
Q9NXF7,DCAF16,DCAF16,Cluster_4,-0.027051515018108888,0.246011514217789,1.1577860709786094,1.0
Q96NT0,VMA22,VMA22,Cluster_4,0.023048250097443577,0.24740659886495317,1.1561670167158091,1.0
Q6IQ32,ADNP2,ADNP2,Cluster_4,-0.1243281915135728,0.26406422046006073,1.156113276012448,1.0
Q9H469,FBXL15,FBXL15,Cluster_4,0.09961935439970614,0.2073826218364409,1.15302838182118,1.0
P28827,PTPRM,PTPRM,Cluster_4,0.1571322515031227,0.2890801358924596,1.151481026738182,1.0
Q8WUP2,FBLIM1,FBLIM1,Cluster_4,0.03257263383781825,0.20667802623438233,1.1496257567496535,1.0
Q9HB40,SCPEP1,SCPEP1,Cluster_4,0.04881227012211701,0.21661649491861504,1.1488719575134532,1.0
Q96SR6,ZNF382,ZNF382,Cluster_4,-0.04760163471791103,0.4784817867303526,1.147282127733483,1.0
Q5JPE7,NOMO2,NOMO2,Cluster_4,0.10365687471870824,0.22165384856298634,1.1470924421866862,1.0
Q9BTE3,MCMBP,MCMBP,Cluster_4,-0.12154494233548706,0.22515287978865725,1.1464589644358902,1.0
Q14691,GINS1,GINS1,Cluster_4,-0.04972029619606892,0.23116219037191238,1.1432432614462336,1.0
Q8IXM6,NRM,NRM,Cluster_4,0.1436350760296925,0.20913937593328627,1.1408692219410703,1.0
Q5PRF9,SAMD4B,SAMD4B,Cluster_4,0.004369862038615441,0.23750759532807178,1.1404285549471034,1.0
Q9HA92,RSAD1,RSAD1,Cluster_4,-0.081260004657639,0.21954359083736716,1.1391257013085685,1.0
P53611,RABGGTB,RABGGTB,Cluster_4,-0.08464835236028154,0.2297257031288316,1.1344490365229165,1.0
O14933,UBE2L6,UBE2L6,Cluster_4,-0.11859574645721488,0.23280624008791456,1.1343874355917904,1.0
P50548,ERF,ERF,Cluster_4,-0.06709133605014574,0.2066247887274707,1.1329356720302144,1.0
Q99487,PAFAH2,PAFAH2,Cluster_4,0.13216046872448012,0.2313448231337045,1.1282448603311437,1.0
P83881,RPL36A,RPL36A,Cluster_4,-0.2532635741068315,0.20110532768798883,1.1248367252722495,1.0
Q9H0K6,PUS7L,PUS7L,Cluster_4,0.03597883942180707,0.2204237000856572,1.1243189763124093,1.0
Q9C0F1,CEP44,CEP44,Cluster_4,-0.07760172105583463,0.24874494656678475,1.1229048841803255,1.0
Q15651,HMGN3,HMGN3,Cluster_4,0.021920591967027746,0.23632220578296556,1.1222775117631478,1.0
O75792,RNASEH2A,RNASEH2A,Cluster_4,-0.03846903772742487,0.24619317534453863,1.1208323429585008,1.0
Q8IVT2,MISP,MISP,Cluster_4,0.06555008313712808,0.2266790914703386,1.1186966672938468,1.0
Q9H2L5,RASSF4,RASSF4,Cluster_4,-0.025595687445624956,0.284430589783386,1.1177620585376609,1.0
Q9BQE5,APOL2,APOL2,Cluster_4,0.32318782282321523,0.3052554237761785,1.1146912018896842,1.0
Q9Y2C4,EXOG,EXOG,Cluster_4,0.04088253082015506,0.20623305191451136,1.111708509195772,1.0
Q01995,TAGLN,TAGLN,Cluster_4,-0.04009731254879122,0.2650410355772651,1.1110747134364836,1.0
P24468,NR2F2,NR2F2,Cluster_4,-0.18268514371877642,0.2541064955398756,1.1106712990534895,1.0
P49642,PRIM1,PRIM1,Cluster_4,-0.155310243084565,0.22442129018313445,1.110654662972582,1.0
Q9UL63,MKLN1,MKLN1,Cluster_4,-0.11742125592529801,0.25844811165787535,1.1078749204715628,1.0
Q9NXR1,NDE1,NDE1,Cluster_4,0.005379861124544648,0.2907752523585105,1.107420697738398,1.0
O96006,ZBED1,ZBED1,Cluster_4,-0.06366235365241511,0.22223228443283416,1.1060888259260049,1.0
Q96C90,PPP1R14B,PPP1R14B,Cluster_4,0.03451128805886874,0.21601198349692846,1.10498901942913,1.0
P62979,RPS27A,RPS27A,Cluster_4,-0.2190182615803212,0.2162909292164331,1.1048519660003393,1.0
P04626,ERBB2,ERBB2,Cluster_4,-0.06962502546780518,0.21828955636236022,1.1044241240210404,1.0
P26374,CHML,CHML,Cluster_4,-0.0514824538654868,0.21086200287883938,1.103823822660761,1.0
Q8WXD5,GEMIN6,GEMIN6,Cluster_4,-0.03602283244169947,0.2364599011944542,1.1011507849234512,1.0
P07942,LAMB1,LAMB1,Cluster_4,0.019277649158228775,0.20462249757504009,1.0996741860841084,1.0
Q96EH3,MALSU1,MALSU1,Cluster_4,0.04511180771556848,0.21450216526770077,1.0943715257480662,1.0
O00418,EEF2K,EEF2K,Cluster_4,-0.05735207286883734,0.2225266085892347,1.0940127468175298,1.0
Q9Y5J6,TIMM10B,TIMM10B,Cluster_4,-0.16148865633087892,0.23942330453359173,1.0914665090571931,1.0
Q8WV41,SNX33,SNX33,Cluster_4,0.17104501404427738,0.24124968857720722,1.0897056183167386,1.0
P45983,MAPK8,MAPK8,Cluster_4,0.01229780199210838,0.2161770894479294,1.0880183094012104,1.0
Q9NT62,ATG3,ATG3,Cluster_4,-0.017637589182390296,0.2075379417541997,1.087413572899191,1.0
Q9HAC7,SUGCT,SUGCT,Cluster_4,0.08351302863589473,0.24346923193039852,1.0869679866698547,1.0
O75717,WDHD1,WDHD1,Cluster_4,-0.1783730816635971,0.20233749055499275,1.086781200909833,1.0
Q9BQ70,TCF25,TCF25,Cluster_4,-0.16770585025148413,0.20255378536777505,1.084958276525274,1.0
Q8N0X7,SPART,SPART,Cluster_4,-0.024601160363901076,0.23146814839730398,1.0773307189523962,1.0
Q03013,GSTM4,GSTM4,Cluster_4,-0.1143136640899984,0.22509661421761518,1.0742057707217647,1.0
P40855,PEX19,PEX19,Cluster_4,0.018435523462887085,0.23862571769626714,1.0726907692705332,1.0
Q86WQ0,NR2C2AP,NR2C2AP,Cluster_4,-0.0243533713470442,0.2231610254604509,1.071508690417904,1.0
Q13480,GAB1,GAB1,Cluster_4,0.0573352891562991,0.24917326630342884,1.0671774336001327,1.0
Q8IVW6,ARID3B,ARID3B,Cluster_4,0.08435737558507761,0.20936165909663865,1.0657392961402934,1.0
Q8NBJ9,SIDT2,SIDT2,Cluster_4,-0.015965356213614383,0.24738665659798287,1.0655151195131545,1.0
P18283,GPX2,GPX2,Cluster_4,-0.0646083621213163,0.2113551095560125,1.0623019127252071,1.0
Q96JY6,PDLIM2,PDLIM2,Cluster_4,0.11726517023900919,0.28231315708577864,1.061597672119479,1.0
Q14188,TFDP2,TFDP2,Cluster_4,0.03840650377553991,0.40462706281032285,1.0605451107841546,1.0
Q13370,PDE3B,PDE3B,Cluster_4,-0.041458403533643697,0.22293809617599789,1.060349243157752,1.0
O00462,MANBA,MANBA,Cluster_4,-0.08486482018767165,0.24247983640497928,1.0531504272321897,1.0
P35711,SOX5,SOX5,Cluster_4,-0.017530969535183585,0.25306475934660644,1.0508182227839171,1.0
Q96E29,MTERF3,MTERF3,Cluster_4,0.06580788583875502,0.22764382032214672,1.0490526594873018,1.0
Q6PJG6,BRAT1,BRAT1,Cluster_4,-0.030732532051135172,0.20715851091972096,1.0483647043404716,1.0
Q9ULV3,CIZ1,CIZ1,Cluster_4,-0.025366123358621883,0.2129722072241547,1.0450933861092793,1.0
Q6ZPD9,DPY19L3,DPY19L3,Cluster_4,0.06717449434589502,0.20219189568366927,1.0437533723399923,1.0
O60507,TPST1,TPST1,Cluster_4,0.09383189122588374,0.22510682495088868,1.0424684897097514,1.0
C4AMC7,,C4AMC7,Cluster_4,-0.12154976120944747,0.2576735660597543,1.037538972379597,1.0
Q9P000,COMMD9,COMMD9,Cluster_4,-0.004093688120878206,0.2474988861454469,1.036498218772337,1.0
Q9NRG0,CHRAC1,CHRAC1,Cluster_4,0.02913909025266303,0.21027831423398355,1.0305649844644549,1.0
P30414,NKTR,NKTR,Cluster_4,0.1698582252489877,0.24499920369010503,1.0297243697504008,1.0
Q7Z4H7,HAUS6,HAUS6,Cluster_4,-0.0364529042839283,0.2253219693254994,1.0291419789834464,1.0
Q13526,PIN1,PIN1,Cluster_4,0.06544414486693471,0.20166298549925024,1.027908811045105,1.0
Q96EP1,CHFR,CHFR,Cluster_4,0.001726796305553511,0.21376901627572764,1.027130397065056,1.0
Q9BV19,C1orf50,C1orf50,Cluster_4,0.14968363733551254,0.238131759647943,1.0224866455150554,1.0
O75925,PIAS1,PIAS1,Cluster_4,-0.12541010682395168,0.22145796882733698,1.020851717750162,1.0
Q96RU2,USP28,USP28,Cluster_4,-0.03992284692338183,0.20567717022401347,1.018980125035327,1.0
Q9ULD2,MTUS1,MTUS1,Cluster_4,-0.0475430646448866,0.2038315892208579,1.016816573568633,1.0
Q9NPA8,ENY2,ENY2,Cluster_4,-0.0828926400941526,0.21131421914935372,1.0158829992162597,1.0
P04066,FUCA1,FUCA1,Cluster_4,0.021635992472148147,0.25400240967565546,1.0151929653167109,1.0
A6NNY8,USP27X,USP27X,Cluster_4,0.04545643689723947,0.24237142537388023,1.0133275202319787,1.0
P52564,MAP2K6,MAP2K6,Cluster_4,-0.09037956705248326,0.20800546106373202,1.0131669488402153,1.0
Q9C0H2,TTYH3,TTYH3,Cluster_4,0.1614507512072107,0.22482589430912125,1.0128458522955164,1.0
P49427,CDC34,CDC34,Cluster_4,-0.0524354042057029,0.20857750942924658,1.0114757630319708,1.0
Q6NZI2,CAVIN1,CAVIN1,Cluster_4,0.08806024858968982,0.2665714654522976,1.0113062163280198,1.0
Q7Z7E8,UBE2Q1,UBE2Q1,Cluster_4,-0.023739933791531276,0.25321221946191486,1.0089501237162644,1.0
Q8NC96,NECAP1,NECAP1,Cluster_4,0.002285377134684625,0.21810179745357802,1.008732679013722,1.0
O43933,PEX1,PEX1,Cluster_4,-0.03954538992350692,0.20175085594824657,1.0061524690940509,1.0
Q9H477,RBKS,RBKS,Cluster_4,0.18239066457947672,0.316697200324753,1.004543334080374,1.0
P98170,XIAP,XIAP,Cluster_4,0.07183263564714545,0.23342403341671092,1.000364566424544,1.0
Q7Z7F0,KHDC4,KHDC4,Cluster_4,-0.018288546369110772,0.22741825307509558,0.9994439174586098,1.0
Q5EBL4,RILPL1,RILPL1,Cluster_4,0.06923198937406966,0.23161225609952327,0.9978497784460494,1.0
P27707,DCK,DCK,Cluster_4,-0.004506995685750446,0.20719577673382272,0.9970487048594164,1.0
Q96BS2,TESC,TESC,Cluster_4,0.03740123050541398,0.21980574572009934,0.9960928575885148,1.0
Q8NCE2,MTMR14,MTMR14,Cluster_4,0.20704082185842246,0.2258321646479988,0.9867284193172274,1.0
Q8N3D4,EHBP1L1,EHBP1L1,Cluster_4,0.07841643730944997,0.20694354819134747,0.9791701065304536,1.0
P07686,HEXB,HEXB,Cluster_4,-0.009398009164210639,0.20481128470818138,0.9723459073468704,1.0
P41208,CETN2,CETN2,Cluster_4,0.036495966044119046,0.22278051311795513,0.9702704351432132,1.0
P50542,PEX5,PEX5,Cluster_4,-0.018114201221574363,0.21466403631447678,0.9701349797678952,1.0
P61916,NPC2,NPC2,Cluster_4,-0.019143236841162932,0.22700648553995673,0.968062253786588,1.0
P10619,CTSA,CTSA,Cluster_4,-0.037269501977245705,0.21477747198786398,0.965163676734882,1.0
P48066,SLC6A11,SLC6A11,Cluster_4,0.15119372920574276,0.24176609273632912,0.959158923239972,1.0
Q96IF1,AJUBA,AJUBA,Cluster_4,-0.08272662912395376,0.20474234420856355,0.9564550911010556,1.0
Q13686,ALKBH1,ALKBH1,Cluster_4,-0.0563964406170924,0.2206301618647605,0.9524649629117796,1.0
O00506,STK25,STK25,Cluster_4,0.03551081134055546,0.21698005085375718,0.9510180912231192,1.0
Q9Y2G1,MYRF,MYRF,Cluster_4,0.08766603385222513,0.2661116013286351,0.9501934272154776,1.0
